round,n1,n2,n3,n4,n5,n6,bonus
68,8,13,25,33,37,39,19
69,1,3,13,28,34,35,27
70,5,21,22,28,40,43,9
71,20,21,26,27,33,45,19
72,9,12,13,25,27,36,43
73,1,19,20,26,36,45,15
74,21,28,30,38,39,42,32
75,11,14,29,31,33,44,6
76,19,22,33,40,41,43,6
77,10,13,15,16,20,44,2
78,3,5,16,30,31,40,32
79,13,25,26,32,37,41,17
80,1,7,10,15,28,42,16
81,4,16,30,34,36,45,9
82,9,30,34,36,39,45,22
83,28,29,33,36,40,45,11
84,16,17,18,29,31,41,39
85,5,16,18,29,32,41,22
86,6,16,18,21,22,35,10
87,5,10,14,15,25,45,32
88,4,22,27,30,35,45,15
89,2,25,27,37,38,44,34
90,1,20,23,25,27,35,41
91,15,18,28,32,39,44,36
92,2,11,22,25,26,30,10
93,2,26,35,37,38,40,3
94,6,9,12,28,30,42,4
95,14,17,21,25,30,43,26
96,6,17,18,25,27,31,2
97,3,4,5,15,23,35,2
98,2,10,13,16,40,45,11
99,8,14,30,31,37,43,19
100,8,11,24,39,43,44,22
101,2,7,20,25,37,38,30
102,5,7,13,16,38,41,24
103,3,8,23,37,39,44,40
104,5,22,24,28,33,43,1
105,7,24,27,28,30,32,11
106,12,18,28,34,40,42,39
107,18,21,28,30,31,38,16
108,6,16,18,29,30,37,28
109,2,12,21,22,32,43,16
110,17,18,22,23,39,42,41
111,1,6,13,16,27,34,38
112,16,29,31,32,36,42,2
113,6,15,16,19,20,26,44
114,23,24,28,31,34,36,42
115,17,18,20,22,23,30,15
116,8,12,13,21,35,45,16
117,14,18,31,34,38,39,21
118,7,12,13,15,19,24,26
119,1,3,4,9,18,35,42
120,1,7,9,19,32,41,43
121,12,19,22,29,31,44,4
122,5,8,17,26,31,32,6
123,4,10,37,41,42,45,22
124,6,8,16,27,36,39,45
125,15,25,29,34,40,41,21
126,4,20,28,37,38,40,8
127,6,11,14,17,41,45,20
128,1,5,11,12,27,36,34
129,3,15,19,31,39,45,22
130,5,15,17,19,30,38,14
131,8,10,15,18,28,35,12
132,4,5,11,20,37,39,23
133,8,18,20,26,29,30,39
134,3,6,29,32,35,39,31
135,2,6,15,17,21,39,43
136,2,3,12,18,37,38,35
137,12,18,29,34,38,42,31
138,6,23,27,31,32,41,24
139,7,11,21,22,27,43,37
140,3,19,26,30,36,43,7
141,8,17,21,26,33,45,1
142,4,13,27,30,35,43,39
143,4,24,29,32,40,41,15
144,9,18,19,29,32,36,8
145,2,11,16,20,39,41,42
146,1,6,8,15,27,36,35
147,8,10,19,32,33,42,21
148,16,27,30,31,36,44,10
149,5,9,13,25,33,39,21
150,1,18,19,22,27,33,24
151,10,29,32,38,43,45,39
152,22,23,25,31,35,36,34
153,13,15,16,21,25,37,32
154,3,10,21,25,31,42,37
155,3,7,9,22,33,38,34
156,1,7,10,27,30,34,13
157,5,17,22,26,31,40,7
158,21,22,25,32,35,44,40
159,3,5,16,19,40,41,18
160,6,7,28,29,41,43,13
161,2,3,4,20,21,45,24
162,10,16,23,24,28,34,32
163,6,11,12,37,43,44,28
164,10,16,32,38,40,44,17
165,1,17,30,41,43,45,33
166,5,11,19,29,35,44,26
167,17,20,28,30,38,41,22
168,7,13,16,25,31,44,42
169,2,19,23,26,37,43,20
170,1,4,19,32,37,39,17
171,13,15,23,39,40,41,19
172,3,7,9,41,43,44,23
173,3,6,9,24,29,38,22
174,9,12,13,21,27,35,29
175,11,17,18,31,33,34,22
176,5,8,10,15,22,30,32
177,1,6,17,24,26,36,41
178,8,17,24,25,30,38,28
179,2,7,15,31,40,44,41
180,5,15,21,30,40,42,23
181,3,8,9,27,41,42,23
182,7,8,9,16,32,35,29
183,24,27,30,35,38,43,10
184,7,27,32,40,42,45,19
185,3,14,16,24,29,42,28
186,4,7,23,24,35,44,30
187,6,8,13,14,18,30,45
188,2,4,9,16,22,37,18
189,5,14,15,36,38,43,25
190,1,9,10,18,39,45,40
191,1,2,8,9,12,17,29
192,2,12,16,17,21,38,5
193,5,8,9,27,31,34,35
194,7,24,29,33,38,44,16
195,3,20,30,34,40,43,2
196,4,7,26,28,31,32,35
197,5,6,10,21,39,45,12
198,18,21,36,38,40,41,27
199,19,30,33,34,39,45,29
200,7,8,14,36,42,43,31
201,15,22,26,27,29,30,33
202,7,17,21,24,28,44,11
203,5,6,31,41,42,44,30
204,4,7,9,24,36,38,42
205,8,22,23,27,36,43,32
206,4,7,19,20,23,39,43
207,7,10,14,15,31,33,27
208,8,15,18,24,36,37,32
209,2,36,40,42,44,45,43
210,2,12,18,20,43,44,26
211,1,10,12,23,26,37,6
212,2,6,10,14,34,41,29
213,11,20,22,24,27,30,25
214,4,6,10,11,37,39,5
215,6,18,28,29,32,44,45
216,8,14,18,27,29,33,26
217,8,19,28,32,34,38,22
218,1,3,4,15,26,39,18
219,9,14,17,19,20,21,8
220,1,9,12,25,28,32,41
221,5,15,23,26,33,36,3
222,2,5,21,28,30,37,33
223,8,19,26,27,37,41,30
224,2,11,21,24,30,40,7
225,7,16,26,28,38,45,39
226,6,15,20,22,26,42,12
227,5,8,33,34,41,44,15
228,7,10,16,23,42,45,12
229,5,10,12,13,17,39,16
230,29,30,32,37,38,41,43
231,21,40,41,42,44,45,10
232,5,20,29,31,41,45,19
233,4,5,20,23,33,38,35
234,3,4,5,19,24,29,9
235,25,30,33,38,39,40,42
236,3,13,21,29,37,42,45
237,4,7,10,29,31,33,25
238,3,6,12,16,33,42,34
239,11,24,29,34,40,44,26
240,4,19,22,25,27,39,26
241,5,7,19,22,25,36,20
242,6,10,22,38,39,43,12
243,9,20,23,26,39,42,6
244,9,20,22,25,36,42,39
245,6,24,28,33,42,43,2
246,12,14,20,22,24,32,15
247,5,7,9,10,15,19,39
248,3,9,22,34,35,40,45
249,10,11,12,25,40,43,33
250,3,16,24,27,29,40,21
251,15,16,20,29,31,35,13
252,19,24,29,30,37,44,27
253,11,13,27,33,34,39,9
254,4,17,24,31,36,42,8
255,6,8,11,18,19,34,35
256,6,10,15,28,29,33,26
257,2,4,24,26,27,33,18
258,2,6,15,21,24,25,9
259,3,9,10,19,22,42,36
260,1,9,29,31,40,45,7
261,2,10,14,17,36,39,40
262,8,16,19,20,28,44,4
263,5,16,27,30,40,41,9
264,2,32,33,35,39,41,43
265,1,10,16,19,28,40,27
266,6,12,16,27,34,37,28
267,5,33,34,35,36,42,2
268,3,24,25,31,41,45,18
269,2,5,7,16,23,44,43
270,3,9,22,23,35,45,14
271,9,12,30,31,41,44,5
272,3,13,19,30,42,44,4
273,20,21,26,31,33,35,17
274,3,4,13,19,23,42,27
275,8,18,24,26,28,29,31
276,12,22,24,32,34,43,19
277,6,12,28,39,44,45,38
278,6,7,19,21,44,45,24
279,11,23,28,29,39,45,33
280,3,4,18,23,28,40,7
281,11,24,26,33,41,43,2
282,3,5,9,10,29,39,20
283,3,24,25,37,42,44,45
284,10,24,29,42,43,44,5
285,9,21,24,26,34,37,19
286,2,8,12,16,32,34,29
287,8,14,17,29,36,43,22
288,5,8,9,13,32,45,34
289,5,6,12,21,23,29,42
290,11,12,19,20,35,41,28
291,8,9,13,15,16,33,38
292,2,24,30,36,37,44,41
293,5,6,9,20,26,40,36
294,5,9,27,34,37,44,23
295,5,23,29,30,34,42,10
296,9,12,28,36,38,41,37
297,4,8,10,11,20,34,15
298,6,15,19,21,23,34,20
299,9,13,18,20,36,41,40
300,6,11,33,38,41,42,12
301,11,22,37,39,40,43,3
302,2,3,6,17,37,42,18
303,2,27,32,37,40,41,39
304,16,19,20,26,31,42,23
305,4,5,11,27,29,30,37
306,10,14,21,22,30,39,25
307,9,23,24,26,33,36,7
308,8,16,18,21,29,30,19
309,4,7,10,19,25,40,32
310,11,13,16,21,37,43,12
311,20,30,32,33,42,45,2
312,6,14,16,26,30,33,44
313,4,19,23,32,39,44,35
314,1,7,9,19,28,35,21
315,3,4,24,26,44,45,41
316,5,13,19,24,36,45,29
317,18,29,33,36,40,41,8
318,7,9,22,24,26,36,29
319,10,13,26,33,39,42,3
320,3,9,22,31,34,45,35
321,9,10,21,33,39,40,24
322,11,20,22,26,38,40,37
323,20,31,32,33,35,37,2
324,8,20,22,24,27,38,2
325,17,31,37,38,39,42,15
326,4,11,31,34,38,40,27
327,3,8,10,16,37,44,17
328,2,10,21,27,29,42,16
329,4,9,27,31,33,40,39
330,14,21,25,31,34,36,23
331,12,22,23,30,35,43,18
332,13,16,18,31,36,40,23
333,14,15,19,20,21,32,37
334,8,18,19,23,36,37,41
335,3,10,19,23,25,26,22
336,6,17,23,29,31,42,15
337,9,13,18,35,36,43,7
338,4,16,34,38,40,43,17
339,4,7,15,22,27,41,36
340,1,7,9,11,36,44,31
341,13,19,31,42,44,45,23
342,4,6,15,19,37,42,40
343,3,12,26,27,44,45,36
344,1,3,12,19,20,37,45
345,7,19,22,30,34,35,38
346,8,9,13,18,30,33,26
347,1,11,12,17,30,42,26
348,12,13,19,26,37,40,32
349,6,7,12,21,26,33,11
350,1,16,17,21,25,31,19
351,18,20,22,29,37,38,1
352,4,8,16,17,24,42,35
353,8,11,20,26,33,45,22
354,9,15,24,31,40,43,11
355,24,27,30,31,36,39,41
356,6,14,16,34,39,43,32
357,4,5,8,24,34,37,42
358,10,11,13,33,35,37,24
359,8,14,29,32,34,38,6
360,4,9,29,30,33,45,31
361,4,20,30,36,37,45,2
362,1,5,14,17,26,38,4
363,4,5,23,28,35,43,36
364,3,9,12,19,27,43,29
365,6,25,29,35,43,45,10
366,8,12,23,26,35,42,39
367,1,2,9,15,20,30,41
368,15,16,25,28,30,35,26
369,3,8,10,13,18,27,2
370,3,5,7,14,16,39,34
371,3,4,16,26,39,44,33
372,4,9,14,15,33,35,23
373,15,21,37,39,43,44,17
374,10,15,20,27,34,43,23
375,4,12,18,28,36,38,42
376,4,23,25,32,34,42,22
377,10,20,25,27,44,45,13
378,10,15,16,20,31,35,36
379,4,27,34,36,43,44,10
380,6,14,16,17,22,25,35
381,4,6,13,18,24,35,30
382,3,5,13,39,44,45,42
383,14,22,31,36,43,45,21
384,1,8,13,14,16,31,45
385,14,16,19,21,26,36,30
386,17,20,23,30,35,42,27
387,7,21,30,31,32,33,15
388,3,15,21,24,27,37,11
389,2,17,27,36,38,42,21
390,10,13,15,22,25,37,19
391,17,22,32,36,42,45,35
392,9,11,23,30,35,44,37
393,3,4,12,34,35,42,7
394,1,4,9,15,27,43,7
395,1,10,14,24,30,33,5
396,31,32,40,41,43,45,2
397,1,2,27,35,36,45,39
398,2,18,19,28,33,35,13
399,7,10,13,16,34,45,39
400,6,17,18,23,24,26,32
401,6,15,16,20,30,37,3
402,6,25,26,31,36,43,4
403,1,6,11,28,32,41,25
404,3,7,14,15,34,37,43
405,3,5,18,31,35,44,42
406,2,3,12,14,21,43,44
407,5,10,11,20,26,37,19
408,9,22,25,35,37,44,6
409,4,7,15,23,28,33,6
410,21,22,26,39,40,44,2
411,15,18,23,29,32,41,42
412,6,12,25,28,38,45,21
413,5,6,10,16,18,25,13
414,1,6,7,21,24,25,26
415,6,7,9,18,24,29,15
416,27,28,29,33,36,43,7
417,2,6,23,36,39,44,45
418,1,19,21,25,27,44,7
419,11,16,25,34,36,37,12
420,9,10,18,20,32,44,5
421,11,18,20,27,28,31,5
422,16,17,24,32,39,41,13
423,1,7,9,20,26,30,27
424,22,25,28,29,40,43,45
425,9,13,20,21,31,39,25
426,12,19,21,26,32,41,43
427,16,18,21,24,25,26,8
428,12,13,35,36,37,38,2
429,5,14,19,27,29,30,38
430,9,10,16,17,20,41,33
431,5,25,29,31,38,39,28
432,3,24,27,33,35,45,40
433,6,7,16,23,39,41,13
434,3,22,26,37,40,42,31
435,1,7,15,17,33,45,39
436,15,24,29,36,37,38,28
437,10,23,30,33,38,44,2
438,6,7,8,19,27,31,13
439,14,20,22,23,30,34,37
440,7,21,23,29,31,42,5
441,2,3,7,8,20,22,15
442,11,12,16,22,34,36,42
443,12,15,26,28,30,41,13
444,2,26,28,40,41,43,14
445,1,14,25,28,29,38,16
446,5,7,12,18,35,37,28
447,8,13,17,21,30,32,40
448,21,25,26,39,40,41,44
449,8,12,23,30,40,44,22
450,6,8,9,21,38,40,19
451,8,10,12,20,24,33,30
452,9,25,27,28,37,39,13
453,12,32,35,36,41,42,11
454,9,12,19,21,29,32,4
455,1,9,13,23,25,32,42
456,27,32,33,42,43,44,30
457,2,6,11,15,32,37,23
458,3,11,15,18,19,35,36
459,8,32,33,36,37,45,9
460,3,18,24,29,35,44,40
461,7,14,16,20,28,42,3
462,6,8,17,23,29,45,19
463,14,23,28,38,40,41,11
464,4,9,14,37,40,43,26
465,11,18,21,35,39,45,22
466,7,9,18,19,33,37,31
467,4,9,16,18,42,43,12
468,10,16,21,26,32,37,20
469,5,6,25,27,29,41,31
470,18,21,24,30,32,33,44
471,1,5,6,23,30,41,40
472,14,18,26,28,32,44,23
473,9,19,22,36,37,42,35
474,3,4,7,22,30,44,2
475,1,8,11,28,29,30,16
476,9,11,18,20,42,45,6
477,6,11,17,24,42,44,4
478,6,15,20,26,28,41,8
479,1,5,9,14,31,38,19
480,1,22,29,34,42,44,9
481,5,9,15,25,28,31,7
482,7,9,20,21,24,45,30
483,5,9,10,34,37,42,1
484,11,14,23,29,40,42,10
485,6,7,14,27,29,40,11
486,8,21,23,25,28,38,10
487,6,16,18,36,42,45,44
488,2,14,19,20,39,45,38
489,4,13,19,26,33,39,18
490,8,16,25,32,39,45,5
491,1,9,21,24,25,34,43
492,5,12,24,27,31,35,2
493,1,3,5,14,17,38,7
494,19,26,27,33,41,44,31
495,6,26,35,41,42,45,11
496,6,14,18,20,33,44,11
497,5,21,26,35,38,41,22
498,4,6,16,28,43,45,32
499,4,8,20,30,39,40,14
500,1,8,9,11,32,44,27
501,9,11,17,24,34,45,21
502,2,8,18,22,28,34,6
503,5,17,30,32,37,41,38
504,4,11,24,32,37,45,13
505,7,8,15,17,33,37,1
506,1,3,16,24,31,45,29
507,3,10,12,15,27,36,25
508,5,16,18,21,27,37,29
509,4,8,12,15,33,34,3
510,5,19,20,21,26,30,7
511,1,13,19,24,30,36,43
512,16,20,24,30,38,40,36
513,1,10,13,16,27,35,3
514,1,15,22,23,35,41,2
515,7,14,20,25,34,43,18
516,4,6,10,18,27,32,3
517,6,15,24,27,30,34,44
518,5,7,9,26,33,41,44
519,4,9,16,19,28,37,21
520,18,21,26,29,43,45,15
521,5,7,9,10,13,38,11
522,8,11,21,27,29,30,41
523,14,17,20,23,29,30,8
524,3,6,11,14,20,39,26
525,6,10,16,23,26,33,4
526,2,12,17,20,26,44,34
527,7,16,30,36,42,45,10
528,1,4,8,9,13,15,32
529,6,24,38,41,42,44,43
530,2,5,13,17,29,44,11
531,3,4,6,8,22,30,15
532,2,25,26,28,32,37,33
533,12,14,18,23,41,45,33
534,3,10,16,40,42,43,22
535,4,6,27,31,32,36,20
536,9,13,16,25,27,34,41
537,2,23,25,31,32,35,26
538,12,18,21,25,33,37,2
539,2,4,15,18,21,39,36
540,7,11,15,23,34,38,19
541,4,15,16,18,35,43,42
542,12,16,23,25,38,43,24
543,2,23,37,38,44,45,41
544,10,13,20,32,35,37,14
545,3,4,6,15,32,39,19
546,1,2,22,31,34,40,15
547,2,4,9,12,21,22,14
548,5,8,10,24,34,38,28
549,7,20,22,26,38,43,24
550,9,11,21,28,32,41,14
551,12,15,23,36,38,40,28
552,1,9,12,19,20,37,31
553,3,12,21,37,39,40,17
554,7,10,22,32,37,41,5
555,6,11,16,21,23,41,27
556,1,5,14,16,17,29,28
557,1,4,7,17,25,29,33
558,11,23,25,27,32,35,29
559,7,11,15,31,37,42,33
560,2,3,5,17,19,21,10
561,5,11,22,25,43,45,40
562,2,6,22,31,39,40,32
563,4,11,28,39,42,44,8
564,13,14,22,27,35,36,19
565,4,7,16,19,20,43,31
566,4,10,24,32,36,37,1
567,6,19,28,31,39,41,14
568,2,7,11,14,19,41,8
569,8,20,26,31,32,45,18
570,6,12,24,25,35,42,29
571,3,12,17,24,29,43,35
572,4,10,15,17,18,37,8
573,6,23,27,35,38,43,16
574,4,25,27,34,35,36,37
575,6,16,20,26,31,37,3
576,10,33,34,37,40,44,8
577,9,11,12,13,14,29,3
578,6,10,13,28,41,45,44
579,5,6,17,21,25,36,31
580,1,18,21,30,34,36,44
581,8,10,27,34,41,44,42
582,7,37,38,42,43,45,20
583,17,23,25,27,32,35,43
584,3,12,18,26,31,39,11
585,3,22,26,39,40,43,17
586,2,4,18,22,24,31,25
587,7,9,15,18,20,32,25
588,6,18,21,27,29,39,14
589,14,24,27,29,32,34,4
590,5,11,20,26,33,45,10
591,2,12,13,34,37,41,5
592,3,4,13,16,24,30,22
593,8,24,26,30,33,41,2
594,12,16,24,29,32,39,36
595,11,17,23,36,38,43,6
596,2,4,11,19,25,37,17
597,14,15,18,27,42,45,37
598,1,2,9,12,31,44,45
599,1,15,17,18,20,39,33
600,14,17,23,25,30,43,22
601,7,26,34,38,40,44,1
602,24,33,36,39,41,43,19
603,5,7,20,22,31,44,21
604,13,17,18,20,21,41,10
605,4,16,21,26,34,39,10
606,2,17,19,27,32,42,30
607,3,13,22,25,37,38,17
608,23,31,33,35,41,44,20
609,7,11,12,19,36,43,35
610,6,9,12,17,22,36,19
611,15,20,22,23,24,27,18
612,4,8,19,30,31,38,44
613,5,13,31,33,38,40,9
614,4,20,25,27,34,44,11
615,9,13,22,27,30,37,11
616,6,12,21,22,32,44,25
617,1,4,14,18,29,41,13
618,6,9,11,32,37,40,31
619,25,26,28,31,41,44,1
620,1,3,13,21,24,35,40
621,1,2,13,15,16,41,28
622,7,9,20,25,33,38,23
623,3,5,11,19,20,30,40
624,9,22,28,34,39,43,36
625,2,11,13,15,23,26,19
626,2,9,11,14,33,38,10
627,3,17,24,25,41,42,39
628,2,4,7,39,40,44,6
629,8,25,27,29,44,45,40
630,1,10,14,17,31,41,24
631,7,18,27,34,40,43,45
632,7,9,27,33,40,45,10
633,7,8,13,19,32,39,16
634,13,17,19,23,27,34,11
635,3,14,22,31,32,36,18
636,1,6,8,37,43,45,35
637,5,6,7,10,17,33,20
638,4,7,17,19,30,45,14
639,3,8,19,21,24,28,9
640,1,3,9,11,22,42,28
641,6,18,22,24,29,40,13
642,8,18,25,26,30,44,36
643,4,8,9,11,27,42,15
644,7,27,29,31,37,38,13
645,2,9,23,25,40,45,35
646,3,5,8,27,29,32,20
647,1,21,34,37,41,42,16
648,7,22,34,40,43,45,30
649,10,16,23,25,31,43,41
650,1,4,11,33,40,42,35
651,5,11,16,21,32,45,26
652,4,15,18,25,33,36,30
653,6,16,29,30,37,42,7
654,2,8,21,29,32,45,9
655,1,3,26,27,36,42,8
656,20,33,36,39,40,41,14
657,4,22,24,30,42,43,16
658,22,30,31,36,39,40,25
659,1,7,8,15,22,29,28
660,7,19,24,34,36,41,3
661,7,9,11,17,27,32,16
662,8,13,14,26,30,45,25
663,3,7,8,27,38,41,33
664,9,30,32,33,38,43,1
665,4,28,31,34,36,38,39
666,7,9,12,25,38,45,44
667,21,25,27,33,39,45,16
668,9,18,19,22,26,29,10
669,20,21,27,33,36,39,42
670,13,14,19,40,41,44,26
671,9,12,33,35,42,44,23
672,8,23,31,36,37,38,29
673,1,19,28,34,35,44,8
674,2,4,10,13,25,42,22
675,4,10,11,17,19,44,18
676,3,7,23,29,35,40,42
677,15,16,25,33,36,42,21
678,4,25,27,42,43,45,22
679,1,4,13,17,36,40,33
680,15,24,35,38,41,42,45
681,5,12,13,19,29,45,15
682,3,8,12,25,28,33,21
683,9,11,17,36,38,44,1
684,3,10,21,22,30,43,45
685,4,20,32,37,40,41,42
686,5,12,15,21,23,34,40
687,5,11,27,33,35,41,29
688,6,14,15,22,23,41,29
689,14,19,31,34,36,40,1
690,8,16,23,29,40,43,18
691,3,8,21,25,42,44,19
692,2,19,24,33,34,35,39
693,3,13,19,21,29,32,39
694,1,6,7,11,35,42,8
695,7,14,28,41,43,45,16
696,2,5,10,28,35,42,34
697,3,4,5,6,12,22,23
698,5,15,17,27,36,37,29
699,2,21,26,28,29,41,30
700,1,5,8,35,40,44,43
701,3,5,7,19,23,33,25
702,6,19,25,26,29,39,2
703,9,11,15,26,31,35,41
704,1,10,19,20,24,41,42
705,1,3,8,10,36,37,45
706,6,14,20,26,35,36,27
707,10,11,14,27,33,42,15
708,8,12,13,15,17,40,43
709,4,5,30,36,42,44,21
710,5,7,13,17,38,43,36
711,7,9,16,22,23,42,24
712,5,13,21,29,32,40,25
713,10,20,37,38,40,43,42
714,1,11,21,24,28,44,18
715,9,15,18,24,28,42,26
716,20,23,29,30,31,32,42
717,6,7,12,18,39,42,11
718,5,13,17,35,41,42,2
719,2,26,33,38,41,42,44
720,3,14,17,35,36,41,34
721,10,15,24,26,38,42,21
722,6,9,26,30,33,43,27
723,1,11,16,33,40,43,37
724,9,11,12,29,37,41,13
725,3,15,23,31,32,42,6
726,3,14,15,17,24,34,29
727,3,21,25,30,31,42,8
728,17,18,34,35,38,41,43
729,12,24,25,38,42,44,5
730,15,17,25,26,34,45,27
731,1,23,31,32,33,39,10
732,5,11,15,18,29,33,17
733,8,10,11,12,24,39,19
734,8,22,27,31,41,42,15
735,2,11,16,27,38,42,4
736,9,11,33,37,38,45,3
737,4,10,11,12,17,37,40
738,2,19,26,37,39,41,7
739,11,14,29,31,39,42,17
740,10,12,27,38,39,40,36
741,11,17,22,30,38,39,5
742,2,7,9,15,25,44,17
743,7,10,27,33,34,39,14
744,3,31,33,35,39,40,9
745,6,9,31,35,39,43,1
746,24,27,28,34,42,44,3
747,15,25,28,31,34,45,24
748,7,9,17,28,37,38,35
749,6,15,19,27,35,39,20
750,1,8,13,34,37,44,39
751,1,14,21,25,27,42,29
752,7,10,17,28,38,42,20
753,18,24,28,35,37,40,29
754,12,14,27,31,36,43,26
755,17,20,31,36,37,45,25
756,8,9,15,26,29,43,13
757,7,14,22,26,33,36,4
758,1,6,10,11,25,41,36
759,5,6,15,17,28,39,29
760,3,6,25,26,39,40,38
761,4,12,19,32,39,41,33
762,1,13,19,34,43,44,4
763,11,15,33,34,39,40,3
764,1,6,11,16,24,42,22
765,23,26,38,42,43,45,13
766,1,5,6,19,34,36,42
767,15,18,23,38,39,44,13
768,1,12,17,26,30,37,32
769,5,7,19,33,36,45,25
770,8,17,33,35,37,43,31
771,16,22,25,30,31,37,35
772,2,5,8,17,31,38,29
773,15,21,23,27,41,44,38
774,1,6,16,17,19,35,31
775,5,12,22,31,36,44,24
776,12,13,14,18,23,37,38
777,13,14,15,16,17,44,18
778,7,8,10,16,23,40,6
779,1,32,35,40,43,44,4
780,21,24,31,32,37,40,18
781,12,15,18,26,32,33,43
782,4,9,28,31,34,35,3
783,8,12,23,26,30,33,40
784,1,14,21,25,30,43,44
785,7,12,17,21,24,40,42
786,16,17,18,22,31,40,28
787,12,14,24,27,28,32,29
788,9,12,18,26,29,37,43
789,7,15,16,18,36,44,32
790,1,10,13,25,31,43,15
791,9,27,32,34,35,41,22
792,4,17,20,32,36,37,29
793,4,7,11,14,17,31,9
794,17,22,24,29,36,42,41
795,2,8,17,23,27,44,45
796,12,13,35,37,42,44,21
797,6,21,23,29,32,33,28
798,10,11,19,30,40,41,25
799,5,26,27,37,40,41,7
800,11,15,19,21,22,42,23
801,18,24,26,29,39,42,44
802,2,11,12,27,29,34,10
803,6,11,14,16,17,43,31
804,4,5,7,31,36,45,2
805,6,7,17,26,34,40,12
806,6,15,16,20,25,42,23
807,9,11,29,34,41,43,2
808,3,21,23,30,31,43,40
809,9,12,18,29,35,36,44
810,28,30,37,39,41,43,36
811,20,23,31,35,41,45,39
812,6,15,20,24,27,29,19
813,1,9,10,20,34,43,27
814,1,19,31,32,35,44,22
815,1,15,19,28,39,45,41
816,13,24,26,27,28,36,17
817,11,15,17,25,42,43,6
818,16,18,28,34,40,41,21
819,5,13,18,27,35,42,14
820,8,9,19,30,40,41,33
821,2,13,18,21,32,40,11
822,2,4,7,12,19,35,23
823,1,6,9,10,15,29,2
824,14,20,22,27,32,45,28
825,3,4,6,10,22,30,23
826,5,12,13,26,31,35,20
827,1,8,16,25,29,45,19
828,3,7,13,14,30,34,37
829,3,11,20,21,25,44,41
830,8,17,20,31,34,41,14
831,4,8,14,16,24,43,33
832,1,8,11,18,21,38,31
833,1,3,16,31,38,39,12
834,6,11,16,24,32,44,26
835,4,10,23,35,41,44,8
836,9,15,21,23,32,36,34
837,2,9,13,17,23,25,4
838,19,29,32,35,36,45,13
839,12,21,23,30,35,37,19
840,5,10,11,34,36,39,32
841,1,17,19,24,30,35,39
842,2,12,24,25,40,42,18
843,5,13,21,25,35,43,39
844,10,19,32,36,40,44,23
845,7,8,21,27,34,42,5
846,3,7,9,12,13,45,37
847,3,7,13,25,32,37,40
848,4,15,17,24,38,40,45
849,1,5,6,14,32,42,35
850,4,24,27,36,41,43,5
851,3,5,18,20,34,40,7
852,7,14,15,34,35,43,28
853,12,13,16,34,37,45,41
854,7,23,27,36,37,41,33
855,7,11,12,28,43,45,40
856,11,22,26,33,35,39,32
857,21,23,24,27,36,44,32
858,14,16,21,35,37,39,28
859,17,24,26,29,36,42,1
860,2,3,9,19,34,39,24
861,1,2,14,15,20,21,24
862,10,33,36,37,42,45,7
863,3,9,10,17,23,30,29
864,6,15,16,17,20,38,43
865,5,14,21,26,31,37,13
866,3,7,20,32,37,39,43
867,4,6,22,23,25,28,33
868,1,8,15,25,39,42,5
869,3,20,21,34,35,37,11
870,4,10,15,21,26,33,35
871,6,15,28,33,37,39,21
872,6,9,10,22,26,31,43
