current_round,target_number,recent_5_count,recent_10_count,recent_20_count,total_count,rounds_since_last_seen,is_odd,number_group,label
26,23,0,0,2,2,16,1,3,0
26,24,1,2,4,4,4,0,3,0
26,25,0,1,4,5,8,1,3,0
26,26,0,1,3,3,10,0,3,0
26,27,0,0,0,1,23,1,3,0
26,28,0,1,1,3,6,0,3,1
26,29,0,0,0,0,27,1,3,0
26,30,0,2,6,6,6,0,3,0
26,31,1,1,1,1,1,1,4,0
26,32,2,2,3,3,1,0,4,0
26,33,1,2,2,3,5,1,4,0
26,34,0,0,0,0,27,0,4,1
26,35,2,3,5,7,1,1,4,0
26,36,0,1,3,4,7,0,4,0
26,37,1,1,3,3,2,1,4,0
26,38,0,1,2,4,10,0,4,0
26,39,2,3,5,6,3,1,4,1
26,40,0,0,1,1,19,0,4,0
26,41,1,2,2,3,5,1,5,0
26,42,1,1,2,3,1,0,5,0
26,43,0,1,1,1,8,1,5,0
26,44,1,1,2,3,2,0,5,0
26,45,1,2,5,5,5,1,5,0
27,1,1,3,3,4,4,1,1,0
27,2,1,1,1,3,4,0,1,0
27,3,0,0,2,3,15,1,1,0
27,4,1,2,3,3,3,0,1,0
27,5,1,2,5,5,2,1,1,0
27,6,1,2,3,6,3,0,1,0
27,7,0,1,2,4,6,1,1,0
27,8,1,4,5,6,4,0,1,0
27,9,1,1,3,3,2,1,1,0
27,10,1,2,3,4,5,0,1,0
27,11,2,4,5,6,1,1,2,0
27,12,0,1,1,1,6,0,2,0
27,13,1,1,2,3,5,1,2,1
27,14,1,1,3,5,1,0,2,0
27,15,0,0,4,7,11,1,2,0
27,16,1,1,3,4,3,0,2,0
27,17,1,2,3,4,1,1,2,0
27,18,0,1,5,7,8,0,2,0
27,19,0,1,3,3,7,1,2,0
27,20,1,2,2,2,3,0,2,1
27,21,1,1,3,3,4,1,3,0
27,22,0,0,0,2,22,0,3,0
27,23,0,0,1,2,17,1,3,0
27,24,1,1,4,4,5,0,3,1
27,25,0,1,4,5,9,1,3,0
27,26,0,0,3,3,11,0,3,1
27,27,0,0,0,1,24,1,3,0
27,28,1,2,2,4,1,0,3,0
27,29,0,0,0,0,28,1,3,1
27,30,0,2,5,6,7,0,3,0
27,31,1,1,1,1,2,1,4,0
27,32,2,2,3,3,2,0,4,0
27,33,0,1,2,3,6,1,4,0
27,34,1,1,1,1,1,0,4,0
27,35,2,3,5,7,2,1,4,0
27,36,0,1,3,4,8,0,4,0
27,37,1,1,3,3,3,1,4,0
27,38,0,0,2,4,11,0,4,0
27,39,3,4,5,7,1,1,4,0
27,40,0,0,1,1,20,0,4,0
27,41,0,2,2,3,6,1,5,0
27,42,1,1,2,3,2,0,5,0
27,43,0,1,1,1,9,1,5,0
27,44,1,1,2,3,3,0,5,0
27,45,0,2,4,5,6,1,5,1
28,1,1,3,3,4,5,1,1,0
28,2,1,1,1,3,5,0,1,0
28,3,0,0,2,3,16,1,1,0
28,4,1,1,3,3,4,0,1,0
28,5,1,2,5,5,3,1,1,1
28,6,1,1,2,6,4,0,1,0
28,7,0,1,2,4,7,1,1,0
28,8,1,3,4,6,5,0,1,1
28,9,1,1,3,3,3,1,1,0
28,10,0,1,3,4,6,0,1,0
28,11,1,3,5,6,2,1,2,0
28,12,0,1,1,1,7,0,2,0
28,13,1,2,3,4,1,1,2,0
28,14,1,1,3,5,2,0,2,0
28,15,0,0,4,7,12,1,2,1
28,16,1,1,3,4,4,0,2,1
28,17,1,2,3,4,2,1,2,0
28,18,0,1,5,7,9,0,2,0
28,19,0,1,2,3,8,1,2,0
28,20,2,3,3,3,1,0,2,0
28,21,1,1,3,3,5,1,3,0
28,22,0,0,0,2,23,0,3,1
28,23,0,0,1,2,18,1,3,0
28,24,1,2,5,5,1,0,3,0
28,25,0,1,3,5,10,1,3,0
28,26,1,1,4,4,1,0,3,0
28,27,0,0,0,1,25,1,3,0
28,28,1,2,2,4,2,0,3,0
28,29,1,1,1,1,1,1,3,1
28,30,0,2,5,6,8,0,3,0
28,31,1,1,1,1,3,1,4,0
28,32,2,2,3,3,3,0,4,0
28,33,0,1,2,3,7,1,4,0
28,34,1,1,1,1,2,0,4,0
28,35,1,3,5,7,3,1,4,0
28,36,0,1,2,4,9,0,4,0
28,37,1,1,3,3,4,1,4,0
28,38,0,0,2,4,12,0,4,0
28,39,2,4,5,7,2,1,4,0
28,40,0,0,0,1,21,0,4,0
28,41,0,1,2,3,7,1,5,0
28,42,1,1,2,3,3,0,5,0
28,43,0,1,1,1,10,1,5,0
28,44,1,1,2,3,4,0,5,0
28,45,1,3,5,6,1,1,5,0
29,1,0,3,3,4,6,1,1,1
29,2,0,1,1,3,6,0,1,0
29,3,0,0,1,3,17,1,1,0
29,4,1,1,3,3,5,0,1,0
29,5,2,2,5,6,1,1,1,0
29,6,1,1,2,6,5,0,1,0
29,7,0,1,2,4,8,1,1,0
29,8,1,4,5,7,1,0,1,0
29,9,1,1,3,3,4,1,1,0
29,10,0,1,3,4,7,0,1,0
29,11,1,3,5,6,3,1,2,0
29,12,0,1,1,1,8,0,2,0
29,13,1,2,2,4,2,1,2,0
29,14,1,1,3,5,3,0,2,0
29,15,1,1,4,8,1,1,2,1
29,16,2,2,4,5,1,0,2,0
29,17,1,2,3,4,3,1,2,0
29,18,0,1,5,7,10,0,2,0
29,19,0,1,1,3,9,1,2,0
29,20,2,3,3,3,2,0,2,0
29,21,0,1,3,3,6,1,3,0
29,22,1,1,1,3,1,0,3,0
29,23,0,0,1,2,19,1,3,0
29,24,1,2,5,5,2,0,3,0
29,25,0,0,3,5,11,1,3,0
29,26,1,1,4,4,2,0,3,0
29,27,0,0,0,1,26,1,3,0
29,28,1,2,2,4,3,0,3,0
29,29,2,2,2,2,1,1,3,0
29,30,0,1,5,6,9,0,3,0
29,31,1,1,1,1,4,1,4,0
29,32,1,2,3,3,4,0,4,0
29,33,0,1,2,3,8,1,4,0
29,34,1,1,1,1,3,0,4,0
29,35,1,3,5,7,4,1,4,0
29,36,0,1,2,4,10,0,4,1
29,37,1,1,2,3,5,1,4,0
29,38,0,0,2,4,13,0,4,1
29,39,1,3,5,7,3,1,4,0
29,40,0,0,0,1,22,0,4,0
29,41,0,1,2,3,8,1,5,0
29,42,1,1,2,3,4,0,5,0
29,43,0,0,1,1,11,1,5,1
29,44,1,1,2,3,5,0,5,0
29,45,1,2,5,6,2,1,5,1
30,1,1,3,4,5,1,1,1,0
30,2,0,1,1,3,7,0,1,0
30,3,0,0,1,3,18,1,1,1
30,4,0,1,3,3,6,0,1,1
30,5,2,2,5,6,2,1,1,1
30,6,0,1,2,6,6,0,1,0
30,7,0,1,1,4,9,1,1,0
30,8,1,3,5,7,2,0,1,0
30,9,1,1,3,3,5,1,1,0
30,10,0,1,3,4,8,0,1,0
30,11,1,3,5,6,4,1,2,0
30,12,0,1,1,1,9,0,2,0
30,13,1,2,2,4,3,1,2,0
30,14,1,1,3,5,4,0,2,0
30,15,2,2,4,9,1,1,2,1
30,16,1,2,4,5,2,0,2,0
30,17,1,1,3,4,4,1,2,0
30,18,0,0,4,7,11,0,2,0
30,19,0,1,1,3,10,1,2,0
30,20,1,3,3,3,3,0,2,0
30,21,0,1,3,3,7,1,3,0
30,22,1,1,1,3,2,0,3,1
30,23,0,0,1,2,20,1,3,0
30,24,1,2,4,5,3,0,3,0
30,25,0,0,2,5,12,1,3,0
30,26,1,1,4,4,3,0,3,0
30,27,0,0,0,1,27,1,3,0
30,28,1,2,2,4,4,0,3,0
30,29,2,2,2,2,2,1,3,0
30,30,0,1,4,6,10,0,3,0
30,31,1,1,1,1,5,1,4,0
30,32,1,2,3,3,5,0,4,0
30,33,0,1,2,3,9,1,4,0
30,34,1,1,1,1,4,0,4,0
30,35,1,2,5,7,5,1,4,0
30,36,1,1,3,5,1,0,4,0
30,37,0,1,2,3,6,1,4,0
30,38,1,1,3,5,1,0,4,0
30,39,1,3,5,7,4,1,4,0
30,40,0,0,0,1,23,0,4,0
30,41,0,1,2,3,9,1,5,1
30,42,1,1,2,3,5,0,5,0
30,43,1,1,2,2,1,1,5,0
30,44,0,1,2,3,6,0,5,0
30,45,2,3,6,7,1,1,5,0
31,1,1,2,4,5,2,1,1,0
31,2,0,1,1,3,8,0,1,0
31,3,1,1,2,4,1,1,1,0
31,4,1,2,4,4,1,0,1,0
31,5,2,3,5,7,1,1,1,0
31,6,0,1,2,6,7,0,1,0
31,7,0,1,1,4,10,1,1,0
31,8,1,2,5,7,3,0,1,0
31,9,0,1,3,3,6,1,1,0
31,10,0,1,3,4,9,0,1,0
31,11,1,2,5,6,5,1,2,0
31,12,0,1,1,1,10,0,2,0
31,13,1,2,2,4,4,1,2,0
31,14,1,1,2,5,5,0,2,1
31,15,3,3,5,10,1,1,2,0
31,16,1,2,4,5,3,0,2,1
31,17,1,1,3,4,5,1,2,0
31,18,0,0,3,7,12,0,2,1
31,19,0,0,1,3,11,1,2,0
31,20,1,3,3,3,4,0,2,0
31,21,0,1,3,3,8,1,3,0
31,22,2,2,2,4,1,0,3,0
31,23,0,0,0,2,21,1,3,0
31,24,1,2,3,5,4,0,3,0
31,25,0,0,2,5,13,1,3,0
31,26,1,1,4,4,4,0,3,0
31,27,0,0,0,1,28,1,3,0
31,28,1,1,2,4,5,0,3,0
31,29,2,2,2,2,3,1,3,0
31,30,0,0,4,6,11,0,3,0
31,31,0,1,1,1,6,1,4,0
31,32,0,2,3,3,6,0,4,1
31,33,0,1,2,3,10,1,4,1
31,34,1,1,1,1,5,0,4,0
31,35,0,2,5,7,6,1,4,1
31,36,1,1,3,5,2,0,4,0
31,37,0,1,2,3,7,1,4,0
31,38,1,1,3,5,2,0,4,0
31,39,1,3,4,7,5,1,4,0
31,40,0,0,0,1,24,0,4,0
31,41,1,2,3,4,1,1,5,0
31,42,0,1,2,3,6,0,5,0
31,43,1,1,2,2,2,1,5,0
31,44,0,1,2,3,7,0,5,0
31,45,2,3,6,7,2,1,5,0
32,1,1,2,4,5,3,1,1,0
32,2,0,1,1,3,9,0,1,0
32,3,1,1,2,4,2,1,1,0
32,4,1,2,4,4,2,0,1,0
32,5,2,3,5,7,2,1,1,0
32,6,0,1,2,6,8,0,1,0
32,7,0,0,1,4,11,1,1,0
32,8,1,2,5,7,4,0,1,0
32,9,0,1,3,3,7,1,1,0
32,10,0,1,3,4,10,0,1,0
32,11,0,2,4,6,6,1,2,0
32,12,0,0,1,1,11,0,2,0
32,13,1,2,2,4,5,1,2,0
32,14,1,2,3,6,1,0,2,0
32,15,3,3,5,10,2,1,2,0
32,16,2,3,4,6,1,0,2,1
32,17,0,1,3,4,6,1,2,0
32,18,1,1,3,8,1,0,2,0
32,19,0,0,1,3,12,1,2,0
32,20,1,2,3,3,5,0,2,0
32,21,0,1,3,3,9,1,3,0
32,22,2,2,2,4,2,0,3,0
32,23,0,0,0,2,22,1,3,0
32,24,1,2,3,5,5,0,3,0
32,25,0,0,1,5,14,1,3,0
32,26,1,1,4,4,5,0,3,0
32,27,0,0,0,1,29,1,3,1
32,28,0,1,2,4,6,0,3,0
32,29,2,2,2,2,4,1,3,0
32,30,0,0,3,6,12,0,3,0
32,31,0,1,1,1,7,1,4,1
32,32,1,3,4,4,1,0,4,0
32,33,1,1,3,4,1,1,4,0
32,34,0,1,1,1,6,0,4,0
32,35,1,3,5,8,1,1,4,0
32,36,1,1,3,5,3,0,4,0
32,37,0,1,2,3,8,1,4,1
32,38,1,1,3,5,3,0,4,0
32,39,0,3,4,7,6,1,4,0
32,40,0,0,0,1,25,0,4,0
32,41,1,1,3,4,2,1,5,0
32,42,0,1,2,3,7,0,5,0
32,43,1,1,2,2,3,1,5,1
32,44,0,1,2,3,8,0,5,0
32,45,2,2,6,7,3,1,5,1
33,1,1,2,4,5,4,1,1,0
33,2,0,1,1,3,10,0,1,0
33,3,1,1,1,4,3,1,1,0
33,4,1,2,3,4,3,0,1,0
33,5,2,3,5,7,3,1,1,0
33,6,0,1,2,6,9,0,1,0
33,7,0,0,1,4,12,1,1,1
33,8,1,2,5,7,5,0,1,0
33,9,0,1,3,3,8,1,1,0
33,10,0,0,3,4,11,0,1,0
33,11,0,1,4,6,7,1,2,0
33,12,0,0,1,1,12,0,2,0
33,13,0,1,2,4,6,1,2,0
33,14,1,2,3,6,2,0,2,0
33,15,3,3,4,10,3,1,2,0
33,16,3,4,5,7,1,0,2,0
33,17,0,1,3,4,7,1,2,0
33,18,1,1,3,8,2,0,2,0
33,19,0,0,1,3,13,1,2,0
33,20,0,2,3,3,6,0,2,0
33,21,0,1,2,3,10,1,3,0
33,22,2,2,2,4,3,0,3,0
33,23,0,0,0,2,23,1,3,1
33,24,0,1,3,5,6,0,3,0
33,25,0,0,1,5,15,1,3,0
33,26,0,1,4,4,6,0,3,0
33,27,1,1,1,2,1,1,3,0
33,28,0,1,2,4,7,0,3,1
33,29,1,2,2,2,5,1,3,0
33,30,0,0,3,6,13,0,3,0
33,31,1,2,2,2,1,1,4,0
33,32,1,3,4,4,2,0,4,0
33,33,1,1,3,4,2,1,4,0
33,34,0,1,1,1,7,0,4,0
33,35,1,2,5,8,2,1,4,0
33,36,1,1,3,5,4,0,4,0
33,37,1,2,3,4,1,1,4,0
33,38,1,1,3,5,4,0,4,0
33,39,0,2,4,7,7,1,4,0
33,40,0,0,0,1,26,0,4,0
33,41,1,1,3,4,3,1,5,0
33,42,0,1,2,3,8,0,5,1
33,43,2,2,3,3,1,1,5,1
33,44,0,1,1,3,9,0,5,0
33,45,2,3,6,8,1,1,5,1
34,1,1,1,4,5,5,1,1,0
34,2,0,0,1,3,11,0,1,0
34,3,1,1,1,4,4,1,1,0
34,4,1,2,3,4,4,0,1,1
34,5,1,3,4,7,4,1,1,0
34,6,0,1,2,6,10,0,1,0
34,7,1,1,2,5,1,1,1,1
34,8,0,1,5,7,6,0,1,0
34,9,0,1,3,3,9,1,1,0
34,10,0,0,3,4,12,0,1,0
34,11,0,1,4,6,8,1,2,0
34,12,0,0,1,1,13,0,2,0
34,13,0,1,2,4,7,1,2,0
34,14,1,2,2,6,3,0,2,0
34,15,2,3,4,10,4,1,2,0
34,16,2,4,5,7,2,0,2,0
34,17,0,1,3,4,8,1,2,0
34,18,1,1,2,8,3,0,2,0
34,19,0,0,1,3,14,1,2,0
34,20,0,2,3,3,7,0,2,0
34,21,0,0,1,3,11,1,3,0
34,22,1,2,2,4,4,0,3,0
34,23,1,1,1,3,1,1,3,0
34,24,0,1,3,5,7,0,3,0
34,25,0,0,1,5,16,1,3,0
34,26,0,1,3,4,7,0,3,0
34,27,1,1,1,2,2,1,3,0
34,28,1,2,3,5,1,0,3,0
34,29,0,2,2,2,6,1,3,0
34,30,0,0,3,6,14,0,3,1
34,31,1,2,2,2,2,1,4,0
34,32,1,2,4,4,3,0,4,0
34,33,1,1,3,4,3,1,4,0
34,34,0,1,1,1,8,0,4,0
34,35,1,2,5,8,3,1,4,0
34,36,1,1,3,5,5,0,4,0
34,37,1,2,2,4,2,1,4,0
34,38,1,1,3,5,5,0,4,0
34,39,0,1,4,7,8,1,4,0
34,40,0,0,0,1,27,0,4,0
34,41,1,1,3,4,4,1,5,0
34,42,1,2,3,4,1,0,5,1
34,43,3,3,4,4,1,1,5,1
34,44,0,1,1,3,10,0,5,1
34,45,3,4,7,9,1,1,5,0
35,1,0,1,4,5,6,1,1,0
35,2,0,0,1,3,12,0,1,0
35,3,1,1,1,4,5,1,1,0
35,4,2,2,4,5,1,0,1,0
35,5,1,3,4,7,5,1,1,0
35,6,0,0,2,6,11,0,1,0
35,7,2,2,3,6,1,1,1,1
35,8,0,1,5,7,7,0,1,0
35,9,0,1,3,3,10,1,1,0
35,10,0,0,2,4,13,0,1,0
35,11,0,1,4,6,9,1,2,0
35,12,0,0,1,1,14,0,2,0
35,13,0,1,2,4,8,1,2,1
35,14,1,2,2,6,4,0,2,0
35,15,1,3,4,10,5,1,2,0
35,16,2,3,5,7,3,0,2,1
35,17,0,1,3,4,9,1,2,0
35,18,1,1,2,8,4,0,2,0
35,19,0,0,1,3,15,1,2,0
35,20,0,1,3,3,8,0,2,0
35,21,0,0,1,3,12,1,3,0
35,22,1,2,2,4,5,0,3,1
35,23,1,1,1,3,2,1,3,0
35,24,0,1,3,5,8,0,3,0
35,25,0,0,1,5,17,1,3,0
35,26,0,1,2,4,8,0,3,0
35,27,1,1,1,2,3,1,3,0
35,28,1,2,3,5,2,0,3,0
35,29,0,2,2,2,7,1,3,0
35,30,1,1,3,7,1,0,3,0
35,31,1,2,2,2,3,1,4,0
35,32,1,2,3,4,4,0,4,0
35,33,1,1,3,4,4,1,4,0
35,34,0,1,1,1,9,0,4,0
35,35,1,2,5,8,4,1,4,1
35,36,0,1,3,5,6,0,4,0
35,37,1,1,2,4,3,1,4,0
35,38,0,1,3,5,6,0,4,0
35,39,0,1,4,7,9,1,4,0
35,40,0,0,0,1,28,0,4,0
35,41,1,1,3,4,5,1,5,0
35,42,2,3,3,5,1,0,5,1
35,43,3,4,5,5,1,1,5,0
35,44,1,1,2,4,1,0,5,0
35,45,2,4,6,9,2,1,5,0
36,1,0,1,4,5,7,1,1,0
36,2,0,0,1,3,13,0,1,0
36,3,0,1,1,4,6,1,1,0
36,4,1,2,4,5,2,0,1,0
36,5,0,2,4,7,6,1,1,0
36,6,0,0,2,6,12,0,1,0
36,7,3,3,4,7,1,1,1,0
36,8,0,1,5,7,8,0,1,0
36,9,0,0,2,3,11,1,1,1
36,10,0,0,2,4,14,0,1,0
36,11,0,1,4,6,10,1,2,0
36,12,0,0,1,1,15,0,2,1
36,13,1,2,3,5,1,1,2,0
36,14,1,2,2,6,5,0,2,0
36,15,0,3,4,10,6,1,2,0
36,16,3,4,5,8,1,0,2,1
36,17,0,1,2,4,10,1,2,0
36,18,1,1,2,8,5,0,2,1
36,19,0,0,1,3,16,1,2,0
